,fight_id,round,KOL_blue,TDA_blue,SMA_blue,ST_blue,SSBA_blue,SSA_blue,SSHA_blue,SSHL_blue,SML_blue,SGHL_blue,GRC_blue,TDL_blue,SGHA_blue,SSBL_blue,SGA_blue,SGBA_blue,RVL_blue,KDL_blue,SGBL_blue,SUL_blue,FT_blue,KOL_red,TDA_red,SMA_red,ST_red,SSBA_red,SSA_red,SSHA_red,SSHL_red,SML_red,SGHL_red,GRC_red,TDL_red,SGHA_red,SSBL_red,SGA_red,SGBA_red,RVL_red,KDL_red,SGBL_red,SUL_red,FT_red,blue,red
0,9107,1,0,2,0,12,0,0,0,0,0,13,288,2,15,0,15,0,0,0,0,0,288,0,0,0,12,0,2,2,0,0,2,0,0,3,0,3,0,0,0,0,2,288,2338,3010
1,9107,2,1,1,0,32,0,2,2,1,0,13,146,1,16,0,16,0,0,0,0,0,146,0,0,0,32,1,5,4,1,0,1,0,0,1,1,1,0,0,0,0,0,146,2338,3010
0,10077,1,0,3,0,187,1,26,25,5,0,0,53,1,1,0,1,0,1,0,0,0,60,0,0,0,187,7,50,33,6,0,13,60,0,15,6,15,0,1,0,0,1,60,2338,3099
1,10077,2,0,1,0,33,0,5,5,1,0,0,2,0,0,0,0,0,0,0,0,0,30,0,0,1,33,2,13,10,1,1,0,30,0,0,2,0,0,0,0,0,0,30,2338,3099
0,8568,1,0,2,0,46,0,0,0,0,0,8,199,1,12,0,12,0,0,0,0,0,53,0,0,0,46,0,8,8,2,0,18,50,0,25,0,25,0,0,0,0,1,53,2338,3168
1,8568,2,0,3,1,120,0,8,8,1,0,5,148,1,10,0,11,1,0,0,1,0,32,0,0,0,120,0,19,14,3,0,6,14,0,10,0,10,0,0,0,0,1,32,2338,3168
2,8568,3,0,4,0,110,2,9,7,2,0,13,185,3,19,2,20,0,0,0,0,0,5,0,0,0,110,0,12,11,4,0,1,0,0,2,0,2,0,0,0,0,3,5,2338,3168
0,7745,1,0,2,0,130,4,11,7,3,0,1,145,2,1,4,1,0,0,0,0,1,14,0,4,0,130,4,10,6,3,0,0,14,1,0,4,0,0,0,0,0,2,14,2338,3280
1,7745,2,0,6,0,153,2,15,12,5,0,2,31,1,5,1,5,0,1,0,0,1,102,0,3,0,153,0,14,14,6,0,1,102,1,1,0,1,0,1,0,0,1,102,2338,3280
2,7745,3,0,2,0,117,1,16,15,5,0,2,126,1,3,1,3,0,0,0,0,2,58,0,2,0,117,0,12,12,3,0,0,58,1,0,0,0,0,1,0,0,0,58,2338,3280
0,7063,1,0,0,0,283,6,110,102,43,0,0,0,0,0,4,0,0,0,0,0,1,0,0,3,0,283,16,98,80,24,0,0,9,1,0,12,1,1,0,0,1,0,0,2340,2079
1,7063,2,0,2,0,120,1,24,19,9,0,2,0,2,2,1,2,0,0,0,0,4,0,0,4,0,120,5,27,21,6,0,1,139,4,1,4,6,5,0,0,5,2,0,2340,2079
2,7063,3,0,0,0,57,1,12,8,0,0,0,8,0,1,0,2,1,0,0,1,6,8,0,5,0,57,5,14,8,2,0,13,183,5,14,3,32,18,1,0,18,0,8,2340,2079
0,6742,1,0,7,0,106,4,15,5,2,0,1,0,0,2,3,2,0,0,0,0,1,20,0,2,0,106,4,18,12,1,0,0,20,1,2,2,2,0,0,0,0,0,20,2340,2279
1,6742,2,0,0,1,40,1,6,4,2,1,0,12,0,0,1,0,0,0,0,0,0,0,0,1,0,40,0,11,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2340,2279
0,5986,1,0,1,0,270,5,29,22,10,0,0,0,0,0,2,0,0,0,0,0,1,0,0,2,0,270,5,43,35,5,0,4,30,1,6,3,6,0,0,0,0,0,0,2340,2344
1,5986,2,0,0,0,294,8,54,31,6,0,0,0,0,0,7,0,0,0,0,0,0,0,0,1,0,294,8,58,49,14,0,0,0,0,0,8,0,0,0,0,0,0,0,2340,2344
2,5986,3,0,0,0,257,4,37,21,4,0,0,0,0,0,3,1,1,0,0,1,1,0,0,1,0,257,12,47,35,4,0,0,43,1,1,4,2,0,0,0,0,0,0,2340,2344
0,6505,1,0,0,0,299,10,95,70,17,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,299,14,70,55,10,0,0,0,0,0,8,0,0,0,0,0,0,0,2340,2345
1,6505,2,0,1,0,86,2,14,10,3,0,1,116,0,1,2,1,0,0,0,0,1,38,0,2,0,86,5,18,12,0,0,0,38,1,0,1,0,0,0,0,0,0,38,2340,2345
2,6505,3,0,1,0,215,5,77,62,24,0,0,62,1,1,4,2,1,0,0,0,0,13,0,0,0,215,7,61,54,11,0,0,13,0,1,5,2,0,0,0,0,1,13,2340,2345
0,5360,1,0,2,0,117,6,21,11,4,0,1,144,1,4,4,4,0,0,0,0,0,0,0,0,0,117,5,21,16,2,0,0,0,0,1,3,1,0,0,0,0,1,0,2340,2352
1,5360,2,0,4,0,78,3,17,13,3,0,0,201,1,0,1,0,0,0,0,0,0,0,0,0,0,78,3,13,10,5,0,0,0,0,0,0,0,0,0,0,0,1,0,2340,2352
2,5360,3,0,6,0,160,6,38,28,6,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,160,7,33,23,9,0,0,0,0,0,5,0,0,0,0,0,0,0,2340,2352
3,9251,1,0,2,0,273,22,94,63,20,0,0,0,0,0,18,0,0,0,0,0,1,25,0,4,0,273,10,55,43,17,0,0,25,1,1,8,1,0,0,0,0,0,25,2340,2352
4,9251,2,0,0,0,288,17,98,72,29,0,0,0,0,1,13,1,0,0,0,0,1,12,0,2,0,288,18,63,42,15,0,1,12,1,1,12,1,0,0,0,0,0,12,2340,2352
5,9251,3,0,4,0,286,13,104,80,30,0,1,11,1,1,10,1,0,0,0,0,0,0,0,1,0,286,13,68,54,31,0,0,0,0,0,9,0,0,0,0,0,1,0,2340,2352
0,5877,1,0,2,0,155,3,22,17,7,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,155,1,35,33,3,0,0,0,0,0,0,0,0,0,0,0,0,0,2340,2710
1,5877,2,0,2,0,186,7,32,24,14,0,9,78,0,11,3,11,0,0,0,0,0,0,0,1,0,186,3,26,21,3,0,3,0,0,3,2,3,0,0,0,0,0,0,2340,2710
2,5877,3,0,0,0,226,4,68,64,37,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0,226,11,42,30,6,0,0,0,0,0,8,0,0,0,0,0,0,0,2340,2710
0,9706,1,0,0,0,294,17,62,31,6,0,0,0,0,0,15,0,0,0,0,0,0,0,0,1,0,294,2,80,76,24,0,0,0,0,0,2,0,0,0,0,0,0,0,2340,3054
1,9706,2,0,0,0,61,1,5,3,1,0,0,98,0,0,0,0,0,0,0,0,0,112,0,0,3,61,0,12,12,1,0,1,80,0,1,0,1,0,0,0,0,0,112,2340,3054
2,9706,3,0,2,0,287,12,55,25,11,0,1,2,0,2,10,2,0,0,0,0,0,2,0,4,0,287,5,63,58,16,0,0,1,0,0,4,0,0,0,0,0,0,2,2340,3054
0,7652,1,0,1,0,234,1,17,16,5,0,0,2,0,0,0,0,0,0,0,0,1,57,0,4,0,234,10,52,24,4,0,0,57,0,0,2,0,0,1,0,0,0,57,2340,3099
1,7652,2,0,0,0,218,2,25,15,3,0,3,59,0,5,2,5,0,0,0,0,1,22,0,3,0,218,6,41,15,4,0,4,22,1,5,1,5,0,0,0,0,0,22,2340,3099
2,7652,3,0,0,0,149,4,15,5,3,0,0,0,0,0,3,0,0,0,0,0,1,147,0,1,0,149,5,32,20,7,0,10,147,1,12,3,12,0,0,0,0,0,147,2340,3099
0,7949,1,0,2,0,273,6,38,29,7,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,273,10,55,32,14,0,0,0,0,0,4,0,0,0,0,0,0,0,2340,3168
1,7949,2,0,3,0,259,11,43,25,6,0,0,0,0,0,6,0,0,0,0,0,0,0,0,1,0,259,22,62,33,6,0,0,0,0,0,17,0,0,0,0,0,0,0,2340,3168
2,7949,3,0,2,0,258,9,27,16,4,0,0,0,0,0,7,0,0,0,0,0,1,23,0,3,1,258,19,49,26,11,0,0,23,1,0,15,1,0,0,0,0,0,23,2340,3168
0,8503,1,0,1,0,226,5,29,23,6,0,0,0,0,0,5,0,0,0,0,0,2,13,0,5,0,226,8,11,3,1,0,0,13,2,0,8,0,0,0,0,0,0,13,2340,3337
1,8503,2,0,0,0,268,7,65,54,17,0,0,0,0,0,7,0,0,0,0,0,0,0,0,1,0,268,7,27,16,3,0,0,0,0,0,6,0,0,0,0,0,0,0,2340,3337
2,8503,3,0,2,0,264,10,63,47,17,0,2,7,0,3,9,3,0,0,0,0,0,0,0,1,0,264,7,30,21,5,0,0,0,0,0,7,0,0,0,0,0,0,0,2340,3337
0,12066,1,0,0,0,292,6,61,42,18,0,0,0,0,0,2,0,0,0,0,0,0,8,0,2,0,292,4,51,44,11,0,0,8,0,0,3,0,0,0,0,0,0,8,2340,3572
1,12066,2,0,1,0,273,5,38,25,8,0,0,4,0,0,2,0,0,0,0,0,0,0,0,2,0,273,5,39,26,11,0,0,0,0,0,2,0,0,0,0,0,0,0,2340,3572
