,fight_id,round,FT_blue,SMA_blue,SUL_blue,GRC_blue,SGHL_blue,SSA_blue,KDL_blue,SGBA_blue,ST_blue,SGHA_blue,KOL_blue,TDL_blue,SGBL_blue,RVL_blue,SGA_blue,SSHL_blue,SSBA_blue,SSBL_blue,TDA_blue,SML_blue,SSHA_blue,FT_red,SMA_red,SUL_red,GRC_red,SGHL_red,SSA_red,KDL_red,SGBA_red,ST_red,SGHA_red,KOL_red,TDL_red,SGBL_red,RVL_red,SGA_red,SSHL_red,SSBA_red,SSBL_red,TDA_red,SML_red,SSHA_red,blue,red
1,7506,2,0,1,0,233,4,5,0,1,19,8,0,3,1,0,17,2,0,0,4,0,4,0,0,3,0,1,5,0,0,19,1,0,0,0,0,1,0,1,0,0,0,4,2168,3188
2,7506,3,0,1,0,252,3,5,0,5,19,5,0,0,4,0,10,0,2,2,0,0,3,0,1,0,0,0,4,0,0,19,0,0,0,0,0,0,3,0,0,0,0,4,2168,3188
0,11013,1,3,0,0,0,0,8,0,0,61,0,0,0,0,0,0,0,1,0,0,0,5,3,0,0,3,2,12,1,0,61,3,1,0,0,0,3,6,0,0,0,0,12,2168,3269
0,10022,1,132,0,2,5,1,25,0,0,163,1,0,0,0,0,1,1,7,4,0,0,15,132,0,0,39,0,13,0,0,163,0,0,2,0,0,0,8,2,1,6,0,11,2168,3598
1,10022,2,3,0,1,3,4,62,0,0,294,5,0,0,0,0,5,15,10,8,0,0,48,3,0,0,3,0,47,0,0,294,0,0,1,0,0,0,9,5,4,7,0,40,2168,3598
2,10022,3,13,0,1,26,0,37,1,0,261,0,0,0,0,0,0,14,4,3,0,0,31,13,0,1,13,0,21,0,0,261,0,0,1,0,0,0,5,5,4,6,0,16,2168,3598
0,8177,1,0,0,0,0,0,38,0,0,286,0,0,0,0,0,0,11,6,2,3,0,30,0,0,0,0,0,48,0,0,286,0,0,0,0,0,0,20,3,0,0,0,38,2216,3078
1,8177,2,0,0,0,0,0,37,0,0,259,0,0,0,0,0,0,8,7,4,3,0,28,0,0,0,0,0,43,0,0,259,0,0,0,0,0,0,7,18,10,0,0,22,2216,3078
2,8177,3,46,0,1,0,1,57,0,0,244,1,0,0,0,0,1,17,14,9,5,0,43,46,0,0,46,0,40,0,0,244,0,0,1,0,0,0,13,5,2,1,0,26,2216,3078
0,11250,1,36,0,0,36,0,21,0,0,261,0,0,1,0,0,0,3,3,2,4,0,13,36,0,1,0,0,27,0,0,261,0,0,0,0,0,0,4,1,1,0,0,23,2315,3058
1,11250,2,41,0,0,41,0,52,0,0,259,0,0,1,0,0,0,13,5,4,1,0,40,41,0,1,0,0,49,0,0,259,0,0,0,0,0,0,11,10,5,0,0,35,2315,3058
2,11250,3,49,0,1,49,1,11,0,0,112,1,0,1,0,0,1,3,4,4,2,0,6,49,0,1,61,3,7,1,0,112,4,0,0,0,0,4,2,0,0,0,0,7,2315,3058
0,5774,1,52,0,2,0,2,22,0,0,187,3,0,0,0,0,3,6,5,4,1,0,17,52,0,0,52,1,31,0,0,187,1,0,2,0,0,1,9,1,1,3,0,27,2558,1340
1,5774,2,0,0,0,134,8,10,0,0,127,10,0,2,0,0,10,3,0,0,3,0,10,0,0,2,0,1,26,0,0,127,1,0,0,0,0,1,8,3,2,3,0,22,2558,1340
2,5774,3,134,0,3,0,1,22,0,0,163,2,0,0,0,0,2,13,2,1,1,0,20,134,0,0,134,1,25,0,1,163,3,0,3,1,0,4,9,1,0,8,0,24,2558,1340
0,9061,1,15,0,1,0,0,33,0,0,285,0,0,0,0,0,0,4,5,1,1,0,21,15,0,0,15,0,40,0,0,285,0,0,1,0,0,0,10,8,6,3,0,21,2558,3598
1,9061,2,13,0,1,0,0,15,0,0,69,0,0,0,0,0,0,1,1,1,0,0,13,13,0,0,5,2,18,1,1,69,4,1,1,1,0,5,5,1,1,2,0,13,2558,3598
0,8431,1,0,0,0,12,0,54,0,0,269,0,0,1,0,0,0,9,14,7,2,0,40,0,0,1,0,0,58,0,0,269,0,0,0,0,0,0,18,4,1,0,0,48,3058,1340
1,8431,2,0,0,0,36,1,53,0,0,230,1,0,2,0,0,1,12,5,5,3,0,47,0,0,2,0,0,87,0,0,230,0,1,0,0,0,0,30,6,5,0,0,78,3058,1340
0,9598,1,56,0,2,0,1,63,0,0,239,1,0,0,0,0,1,9,12,8,0,0,41,56,0,0,56,0,26,0,0,239,0,0,2,0,0,0,8,1,1,5,0,23,3058,2375
1,9598,2,12,0,0,0,0,15,0,0,71,0,0,0,0,0,0,9,1,0,1,0,13,12,1,0,12,3,28,0,0,71,6,0,0,0,0,6,14,5,5,1,1,22,3058,2375
0,9009,1,0,0,0,0,0,73,0,0,300,0,0,0,0,0,0,4,16,10,0,0,50,0,0,0,0,0,47,0,0,300,0,0,0,0,0,0,8,4,3,0,0,36,3058,3188
1,9009,2,0,0,0,0,0,63,0,0,300,0,0,0,0,0,0,6,10,3,0,0,45,0,0,0,0,0,71,0,0,300,0,0,0,0,0,0,12,3,1,0,0,62,3058,3188
2,9009,3,0,0,0,0,0,69,0,0,300,0,0,0,0,0,0,5,7,5,0,0,57,0,0,0,0,0,65,0,0,300,0,0,0,0,0,0,16,4,1,1,0,57,3058,3188
0,6247,1,0,0,0,29,1,46,0,0,271,3,0,0,0,0,3,14,3,3,1,0,36,0,0,0,0,0,62,0,0,271,0,0,0,0,0,0,11,4,2,0,0,49,532,1815
1,6247,2,0,0,0,0,0,65,0,0,300,0,0,0,0,0,0,14,8,3,1,0,55,0,0,0,0,0,100,0,0,300,0,0,0,0,0,0,27,14,12,0,0,75,532,1815
2,6247,3,0,0,0,0,0,60,0,0,300,1,0,0,0,0,1,23,7,5,1,0,51,0,0,0,0,0,81,0,0,300,0,0,0,0,0,0,28,10,5,0,0,60,532,1815
